SampleID,ReferenceID,HeldOutOuterFold
1,kidney_esaote,1
2,kidney_esaote,1
3,kidney_esaote,1
4,kidney_esaote,1
5,kidney_esaote,1
6,kidney_esaote,1
7,kidney_esaote,1
8,kidney_esaote,1
9,kidney_esaote,1
10,kidney_esaote,1
11,kidney_esaote,1
12,kidney_esaote,1
13,kidney_esaote,1
14,kidney_esaote,1
15,kidney_esaote,1
16,kidney_esaote,1
17,kidney_esaote,1
18,kidney_esaote,1
19,kidney_esaote,1
20,kidney_esaote,1
21,kidney_esaote,1
22,kidney_esaote,1
23,kidney_esaote,1
24,kidney_esaote,1
25,kidney_esaote,1
26,kidney_esaote,1
27,kidney_esaote,1
28,kidney_esaote,1
29,kidney_esaote,1
30,kidney_esaote,1
31,kidney_esaote,1
32,kidney_esaote,1
33,kidney_esaote,1
34,kidney_esaote,1
35,kidney_esaote,1
36,kidney_esaote,1
37,kidney_esaote,1
38,kidney_esaote,1
39,kidney_esaote,1
40,kidney_esaote,1
41,kidney_esaote,1
42,kidney_esaote,1
43,kidney_esaote,1
44,kidney_esaote,1
45,kidney_esaote,1
46,kidney_esaote,1
47,kidney_esaote,1
48,kidney_esaote,1
49,kidney_telemed,2
50,kidney_telemed,2
51,kidney_telemed,2
52,kidney_telemed,2
53,kidney_telemed,2
54,kidney_telemed,2
55,kidney_telemed,2
56,kidney_telemed,2
57,kidney_telemed,2
58,kidney_telemed,2
59,kidney_telemed,2
60,kidney_telemed,2
61,kidney_telemed,2
62,kidney_telemed,2
63,kidney_telemed,2
64,kidney_telemed,2
65,kidney_telemed,2
66,kidney_telemed,2
67,kidney_telemed,2
68,kidney_telemed,2
69,kidney_telemed,2
70,kidney_telemed,2
71,kidney_telemed,2
72,kidney_telemed,2
73,kidney_telemed,2
74,kidney_telemed,2
75,kidney_telemed,2
76,kidney_telemed,2
77,kidney_telemed,2
78,kidney_telemed,2
79,kidney_telemed,2
80,kidney_telemed,2
81,kidney_telemed,2
82,kidney_telemed,2
83,kidney_telemed,2
84,kidney_telemed,2
85,kidney_telemed,2
86,kidney_telemed,2
87,kidney_telemed,2
88,kidney_telemed,2
89,kidney_telemed,2
90,kidney_telemed,2
91,kidney_telemed,2
92,kidney_telemed,2
93,kidney_telemed,2
94,kidney_telemed,2
95,kidney_telemed,2
96,kidney_telemed,2
97,thigh_esaote,3
98,thigh_esaote,3
99,thigh_esaote,3
100,thigh_esaote,3
101,thigh_esaote,3
102,thigh_esaote,3
103,thigh_esaote,3
104,thigh_esaote,3
105,thigh_esaote,3
106,thigh_esaote,3
107,thigh_esaote,3
108,thigh_esaote,3
109,thigh_esaote,3
110,thigh_esaote,3
111,thigh_esaote,3
112,thigh_esaote,3
113,thigh_esaote,3
114,thigh_esaote,3
115,thigh_esaote,3
116,thigh_esaote,3
117,thigh_esaote,3
118,thigh_esaote,3
119,thigh_esaote,3
120,thigh_esaote,3
121,thigh_esaote,3
122,thigh_esaote,3
123,thigh_esaote,3
124,thigh_esaote,3
125,thigh_esaote,3
126,thigh_esaote,3
127,thigh_esaote,3
128,thigh_esaote,3
129,thigh_esaote,3
130,thigh_esaote,3
131,thigh_esaote,3
132,thigh_esaote,3
133,thigh_esaote,3
134,thigh_esaote,3
135,thigh_esaote,3
136,thigh_esaote,3
137,thigh_esaote,3
138,thigh_esaote,3
139,thigh_esaote,3
140,thigh_esaote,3
141,thigh_esaote,3
142,thigh_esaote,3
143,thigh_esaote,3
144,thigh_esaote,3
145,thigh_telemed,4
146,thigh_telemed,4
147,thigh_telemed,4
148,thigh_telemed,4
149,thigh_telemed,4
150,thigh_telemed,4
151,thigh_telemed,4
152,thigh_telemed,4
153,thigh_telemed,4
154,thigh_telemed,4
155,thigh_telemed,4
156,thigh_telemed,4
157,thigh_telemed,4
158,thigh_telemed,4
159,thigh_telemed,4
160,thigh_telemed,4
161,thigh_telemed,4
162,thigh_telemed,4
163,thigh_telemed,4
164,thigh_telemed,4
165,thigh_telemed,4
166,thigh_telemed,4
167,thigh_telemed,4
168,thigh_telemed,4
169,thigh_telemed,4
170,thigh_telemed,4
171,thigh_telemed,4
172,thigh_telemed,4
173,thigh_telemed,4
174,thigh_telemed,4
175,thigh_telemed,4
176,thigh_telemed,4
177,thigh_telemed,4
178,thigh_telemed,4
179,thigh_telemed,4
180,thigh_telemed,4
181,thigh_telemed,4
182,thigh_telemed,4
183,thigh_telemed,4
184,thigh_telemed,4
185,thigh_telemed,4
186,thigh_telemed,4
187,thigh_telemed,4
188,thigh_telemed,4
189,thigh_telemed,4
190,thigh_telemed,4
191,thigh_telemed,4
192,thigh_telemed,4
