"SampleID","ReferenceID","Anatomy","System","Frequency","FrequencyUnit","Gain","GainUnit","Power","PowerUnit","DynamicRange","DynamicRangeUnit"
"1","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","25","%","14","proprietary_label"
"2","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","25","%","14","proprietary_label"
"3","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","25","%","14","proprietary_label"
"4","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","25","%","14","proprietary_label"
"5","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","25","%","14","proprietary_label"
"6","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","75","%","75","%","14","proprietary_label"
"7","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","75","%","14","proprietary_label"
"8","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","75","%","14","proprietary_label"
"9","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","75","%","14","proprietary_label"
"10","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","75","%","14","proprietary_label"
"11","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","75","%","14","proprietary_label"
"12","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","75","%","25","%","14","proprietary_label"
"13","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","25","%","16","proprietary_label"
"14","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","25","%","16","proprietary_label"
"15","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","25","%","16","proprietary_label"
"16","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","25","%","16","proprietary_label"
"17","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","25","%","16","proprietary_label"
"18","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","75","%","75","%","16","proprietary_label"
"19","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","75","%","16","proprietary_label"
"20","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","75","%","16","proprietary_label"
"21","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","75","%","16","proprietary_label"
"22","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","75","%","16","proprietary_label"
"23","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","75","%","16","proprietary_label"
"24","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","75","%","25","%","16","proprietary_label"
"25","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","25","%","18","proprietary_label"
"26","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","25","%","18","proprietary_label"
"27","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","25","%","18","proprietary_label"
"28","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","25","%","18","proprietary_label"
"29","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","25","%","18","proprietary_label"
"30","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","75","%","75","%","18","proprietary_label"
"31","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","75","%","75","%","18","proprietary_label"
"32","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","75","%","75","%","18","proprietary_label"
"33","kidney_esaote","Kidney","Esaote","Ris-B","proprietary_label","25","%","75","%","18","proprietary_label"
"34","kidney_esaote","Kidney","Esaote","Gen-B","proprietary_label","25","%","75","%","18","proprietary_label"
"35","kidney_esaote","Kidney","Esaote","Ris-M","proprietary_label","25","%","75","%","18","proprietary_label"
